Name,Address
Alabama Oncology - Corporate,"500 Office Park Drive Suite 400, Birmingham, AL, 35223"
Alabama Oncology - Grandview,"3670 Grandview Parkway Suite 200, Birmingham, AL, 35243"
Alabama Oncology - Princeton,"833 Princeton Ave SW POB III #105-A, Birmingham, AL, 35211"
Alabama Oncology - St Vincent's,"2780 10th Ave S #200, Birmingham, AL, 35205"
Alabama Oncology - Trussville,"100 Pilot Medical Dr #175, Birmingham, AL, 35235"
Alabama Orthopedic and Sports Medicine,"6401 Jordan Road Suite A, Daphne, AL, 36526"
Alabama Pediatrics,"2815 Independence Dr, Homewood, AL, 35209"
Alabama Pediatrics @ 6pm,"2815 Independence Dr, Homewood, AL, 35209"
Alabama Pediatrics @ Noon,"2185 Independence Drive, Birmingham, AL, 35209"
Alabama Pediatrics- Weekend,"2815 Independence Dr, Homewood, AL, 35209"
Alabama Podiatry,"1558 E Trinity Blvd, Montgomery, AL, 36106"
Alabama Sleep and Lung,"3415 Independence Dr, Homewood, AL, 35209"
Alabama Specialty Clinic- Cullman,"1908 Cherokee Ave SW, Cullman, AL, 35055"
Alabama Vision Center- 119,"7191 Cahaba Valley Rd #203, Birmingham, AL, 35242"
Alabama Vision Center- Mountain brook ,"3928 Montclair Rd, Birmingham, AL, 35213"
Alabama Women’s Specialists Midday,"2006 Brookwood Medical Center Dr suite 310, Birmingham, AL, 35209"
Alabama Women’s Wellness Center - Bailey Creek,"7105 Bailey Creek Circle, Huntsville , AL, 35802"
Alabama Women's Specialists,"2006 Brookwood Medical Center Dr Ste 310, Birmingham, AL, 35209"
Alabama Women's Wellness Center - Madison St,"612 Madison St SE, Huntsville, AL, 35801"
Alex City Foot Specialties,"1649 Hwy 22 W, Alexander City, AL, 35010"
Alexander Pediatrics,"330 St. Lukes Dr, Montgomery, AL, 36117"
Alexandria Medical Clinic,"7701 Alabama Hwy 144, Alexandria, AL, 36230"
Aligned Medical Center,"718 Military Ave, Lawrenceburg, TN, 38464"
All About Kids,"2921 Zelda Rd, Montgomery, AL, 36106"
All About Pediatrics,"111 Scouting Circle, Troy, AL, 36081"
Almirol Internal Medicine,"15225 US-43 Suite G, Russellville, AL, 35653"
AMG Seton Pulmonary & Urgent Critical Care,"1301 W. 38th Drive, Austin, TX, 78705"
Andalusia Dental Group,"644 Western Bypass, Andalusia, AL, 36420"
Andalusia Family Healthcare,"847 Western Bypass Ste A, Andalusia, AL, 36420"
Andalusia Pediatrics,"301 Medical Ave Suite A, Andalusia, AL, 36420"
Andalusia Urology ,"300 Medical Park Drive Suite 100, Andalusia , AL, 36420"
Andalusia Walk-In Clinc,"847 Western Bypass, Andalusia , Al, 36420"
Andalusia Womens Health ,"109 Medical Park Dr. Ste B, Andalusia , AL, 36420"
Andreas Maddux,"3240 Edwards Lake Pkwy, Birmingham, AL, 35235"
Andrews Sports Ortho- St Vincent's,"805 St. Vincent's Dr #100, Birmingham, AL, 35205"
Angels For The Elderly Senior Living,"40 Angels Ct, Montgomery, AL, 36109"
Anniston Foot Care Center,"708 E 10th St, Anniston, AL, 36207"
Anniston General Surgery Center,"1901 Leighton Ave, Anniston , AL, 36208"
Anniston OBGYN,"901 Leighton Ave Ste 501, Anniston, AL, 36207"
Anniston Pediatrics,"1001 Leighton Ave, Anniston, AL, 36207"
Anniston Pediatrics Midday,"Leighton, Anniston, AL, 36207"
Anniston Quality Healthcare,"1316 Noble St, Anniston, AL, 36201"
Any Lab Test Now,"2409 Acton Road, Suite 105, Birmingham, AL, 35243"
APAM - VCOM," 560 Devall Dr, Auburn, AL, 36849"
Arbor woods Health and Rehab,"512  2nd Ave , Reform, AL, 35481"
Ascension Medical Group Providence- Citronelle,"19140 S 3rd St, Citronelle, AL, 36522"
Ascension Medical Group-Providence Park,"610 Providence Park Dr. E, Mobile, AL, 36695"
Ascension Medical Providence- Fairhope,"411 North Section St, Fairhope, AL, 36532"
Ascension Seton Family Center Marble Falls,"1009 Falls Pkwy, Marble Falls, TX, 78654"
Ascension Seton Pulmonary Burnet,"200 John W Hoover Pkwy Bldg 3, Burnet, TX, 78611"
Ashland Health and Rehab- supply drop,", , , "
Ashland Place Health and Rehab,"148 Tuscaloosa St, Mobile, AL, 36607"
Aspire at Cahaba River,"3070 Healthy Way, Vestavia Hills, AL, 35243"
Aspire at Hoover,"575 Southland Dr, Hoover, AL, 35226"
Aspire at West Alabama,"2400 Hospital Dr, Northport, AL, 35476"
Aspire at West Alabama- Monday Noon,", Northport, AL, 35476"
Aspire Integrative Health Clinic,"2202 Gateway Dr, Opelika, AL, 36801"
Athens Family Health Center,"1005 Market St N Unit B, Athens, AL, 35611"
Athens Health and Rehabilitation,"611 West Market St, Athens, AL, 35611"
Auburn Family Medicine,"665 N Dean Rd, Auburn, AL, 36830"
Auburn Foot Care Center,"890 N Dean Rd, Auburn, AL, 36830"
Auburn Internal Medicine,"1548 Professional Pkwy, Auburn, AL, 36830"
Auburn Pediatric & Adult Medicine - Bent ,"2353 Bent Creek Rd #110, Auburn, AL, 36830"
Auburn Pediatric & Adult Medicine Midday,"2353 Bent Creek Rd. #110, Auburn, AL, 36830"
Auburn University Medical Clinic,"400 Lem Morrison Dr, Auburn, AL, 36849"
Auburn Urgent Care,"1650 South College St, Auburn, AL, 36832"
Auburn Urgent Care Midday,"1902 S College St, Auburn, AL, 36830"
Auburn-Opelika Family Foot Care,"2121 Executive Park Dr, Opelika, AL, 36801"
Austex Pediatrics,"5100 W Hwy 290 Building 2, Austin, TX, 78735"
Austin Concierge Medicine,"631 W 38 #1 , Austin, TX, 78705"
Austin Gastroenterology Bee Cave/Westlake,"3944 RM-620 Bldg 6, Austin, TX, 78738"
Aveanna Healthcare (CCH Pell City),"2048 Martin St S, Pell City, AL, 35128"
B & A Family Care,"3520 US Hwy 431, Albertville, AL, 35950"
Babi Pediatrics,"6250 Park S Dr, Bessemer, AL, 35022"
Balderas Family Medicine,"5424 W US Hwy 290, Austin, TX, 78735"
Baldwin Bone and Joint ,"1505 Daphne Ave  County Road 64, Daphne, AL, 36526"
Bama Pediatrics,"2701 20th Avenue, Northport, AL, 35476"
Bama Pediatrics and Allergy,"920 Rose Drive, Northport , AL, 35476"
Bartel Family Medicine,"139 E Lafayette St, Dadeville, AL, 36853"
"Barton Creek Pedatrcis - Austin, TX","7004 RM 2244 Building 1 , Austin , TX, 78746"
BBH Talladega Pediatrics,"722 Stone Ave, Talladega, AL, 35160"
Beansprouts Pediatrics/TCP,"2440 East Hwy 290 Building C Unit A, Dripping Springs, TX, 78620"
Bear Creek Family Medicine,"7005 6th Ave, Tuscaloosa, AL, 35405"
Bee Well Pediatrics,"12005 Bee Cave Rd Unit 2A, Austin, TX, 78738"
Bessemer Family Foot Clinic,"1721 4th Ave N, Bessemer, AL, 35020"
Better Weighs to Better Health,"725 W Market St, Athens, AL, 35611"
Better Weighs Urgent Care,"715 W Market St, Athens, AL, 35611"
Birmingham Allergy and Asthma- Homewood,"3125 Independence Dr #100, Homewood, AL, 35209"
Birmingham Allergy and Asthma- Inverness,"254 Inverness Center Dr, Hoover, AL, 35242"
Birmingham Heart Clinic - Blount,"150 Gilbreath Dr, Oneonta, AL, 35121"
Birmingham Heart Clinic - Gardendale,"2217 Decatur Hwy, Gardendale, AL, 35071"
Birmingham Heart Clinic - Pell City,"74 Plaza Drive, Pell City, AL, 35125"
Birmingham Heart Clinic - Trussville,"100 Pilot Medical Dr #300, Birmingham, AL, 35235"
Birmingham Heart Clinic - Trussville Midday,"100 Pilot Medical Dr, #300, Birmingham, AL, 35235"
Birmingham Heart Clinic Midday,"100 Pilot Medical Dr, #300, Birmingham, AL, 35235"
Birmingham Internal Medicine Associates Midday,", , AL, "
Birmingham Pediatric Associates,"806 St Vincent's Dr suite 615, Birmingham, AL, 35205"
Birmingham Pediatrics Associates 8:45pm,"806 St Vincent's Dr suite 615, Birmingham, AL, 35205"
Birmingham Pediatrics Associates Midday,"806 St Vincents Dr #615, Birmingham, AL, 35205"
Birmingham Pulmonary Group,"2660 10th Ave S Suite 528, Birmingham, AL, 35205"
Birmingham Southern,"900 Arkadelphia Rd, Birmingham, AL, 35254"
Birminghman Pulmonary Group Midday,"2660 10th Ave S Suite 528, Birmingham, AL, 35205"
Black Warrior Foot Center,"100 Towncenter Blvd Ste 111, Tuscaloosa, AL, 35476"
Blossomwood," 2121 Whitesburg Dr Suite C, Huntsville, AL, 35801"
Blount County Quality Healthcare,"1000 Lincoln Ave, Oneonta, AL, 35121"
Bond Engineering Building,"Bldg 35762, Huntsville, AL, 35811"
Brightleaf at Lakeline/Staff ,"14115 N Hwy 183, Austin, TX, 78717"
Brightstarts Pediatrics,"102 Essex Ct, Ste A, Madison, AL, 35758"
Brookdale University Park,"400 University Park Dr, Birmingham, AL, 35209"
Brookwood Baptist- Cahaba Heights,"3980 Colonnade Pkwy  #102, Birmingham, AL, 35243"
Brookwood Baptist Cahaba Valley/Pelham,"120 Cahaba Valley Pkwy  Ste 120, Pelham, Al, 35124"
Brookwood Baptist- Double Springs,"25734 Hwy 195, Double Springs, AL, 35553"
Brookwood Baptist ENT - Princeton,"833 Princeton Ave SW POB III Suite 200 B, Birmingham, AL, 35209"
Brookwood Baptist- Gardendale,"430 Fieldstown Rd #104, Gardendale, AL, 35071"
Brookwood Baptist- Hoover,"5295 Preserve Parkway Suite 210, Hoover, AL, 35244"
Brookwood Baptist- Hueytown,"2800 Allison Bonnett Memorial Dr, Hueytown, AL, 35023"
Brookwood Baptist- Inverness,"4902 Valleydale Road, Inverness, AL, 35242"
Brookwood Baptist- Jasper Walker Family,"3400 Hwy 78 E #110, Jasper, AL, 35501"
Brookwood Baptist- Jemison,"25420 Hwy 31 N, Jemison, AL, 35085"
Brookwood Baptist- Lincoln,"47344 US Highway 78, Lincoln, AL, 35096"
Brookwood Baptist- Lincoln Midday,"47344 US-78, Lincoln, AL, 35096"
Brookwood Baptist- Oak Mountain,"2705 Pelham Pkwy #100, Pelham, AL, 35124"
Brookwood Baptist- Talladega Primary,"803 North Street East, Talladega, AL, 35610"
Brookwood Baptist- The Narrows,"13521 Old Hwy 280, #225, Birmingham, AL, 35242"
Brookwood Dental ,"1771 Independence Ct Ste 1, Birmingham, AL, 35216"
Brookwood Dermatology,"521 Montgomery Hwy #117, Vestavia Hills, AL, 35216"
Brookwood Endodontics,"1771 Independence Ct Suite 3, Vestavia Hills, AL, 35216"
Brookwood Endoontics Tuscaloosa,"4851 Rice Mine Rd. Suite 540, Tuscaloosa, AL, 35406"
Brownstone Healthcare & Aesthetics,"4643 Camp Coleman Rd, unit 117, Trussville, AL, 35173"
By His Grace,"806 Glover Ave Ste 3, Enterprise, Al, 36330"
Cahaba Concierge Medicine,"8011 Liberty Parkway  Ste 101, Vestavia Hills, AL, 35242"
Cahaba Derm Cahaba Heights,"3965 Crosshaven Dr  Ste 113, Vestavia, AL, 35243"
Cahaba Derm -Hoover Midday,"2279 Valleydale Rd Ste 100, Birmingham, AL, 35244"
Cahaba Derm Hoover pm,"2279 Valleydale Road Ste 100, Birmingham , AL, 35244"
Cahaba Dermatology- Tuscaloosa,"1649 McFarland Blvd N, Tuscaloosa, AL, 35406"
Cahaba Medical Care - Bessemer Midday,"975 9th Ave SW, Bessemer, AL, 35022"
Cahaba Medical Care - Camden,"321 Whiskey Run Rd, Camden, AL, 36726"
Cahaba Medical Care- Bessemer,"975 9th Ave SW Suite 106, Bessemer, AL, 35022"
Cahaba Medical Care- Centreville,"405 Belcher St, Centreville, AL, 35042"
Cahaba Medical Care- Fairfield,"6900 Grasseli Dr, Fairfield, AL, 35064"
Cahaba Medical Care- Maplesville,"9431 AL 22, Maplesville, AL, 36750"
Cahaba Medical Care- Marion,"1303 Washington St, Marion, AL, 36756"
Cahaba Medical Care- Princeton," 801 Princeton Ave. SW. suite 505, Birmingham, AL, "
Cahaba Medical Care West Blocton,"319 Magnolia St, West Blocton, AL, 35184"
Cahaba Medical Care- West End,"1308 Tuscaloosa Ave, Birmingham, AL, 35211"
Cahaba Medical Care- West End (Noon),"1308 Tuscaloosa Ave SW, Birmingham, AL, 35211"
Cahaba Medical Care- Woodstock,"28921 Hwy 5, Woodstock, AL, 35188"
Cahaba Medical Clinic- Ensley,"1925 Ave E   , Birmingham, AL, 35218"
Cahaba Podiatry 280,"5511 US-280 W, unit 124, Birmingham, AL, 35242"
Cahaba Podiatry Pell City,"4109 Cogswell Ave, Pell City, AL, 35125"
Calhoun Quality Healthcare,"601 Leighton Ave, Anniston, AL, 36207"
Canterberry Family Practice Center,"502 North 27th Ave, Gadsden, AL, 35904"
Cardinal Medical Group,"185 Whitesport Dr, Huntsville, AL, 35801"
Caring for Kids,"1610 Opelika Blvd, Phenix City, AL, 36867"
Carlile Pediatrics,"78 Cambridge Ct, Wetumpka, AL, 36093"
Carlota OBGYN Valley Womens Market St,"1005 West Market St, Ste 17, Athens, AL, 35611"
Caton Family Practice,"8121 Madison Blvd #101A, Madison, AL, 35758"
Central AL Primary & Urgent Care,"645 McQueen Smith Rd #210, Prattville, AL, 36066"
Central Alabama ENT Associtaes,"6980 Winton Blount Blvd, Montgomery, AL, 36117"
Central Alabama Footcare,"230 Clayton St, Montgomery, AL, 36111"
Central Alabama Primary and Urgent Care midday,"645 McQueen Smith Rd N #210, Prattville, AL, 36066"
Central Baldwin Immediate Care,"21141 AL-59 Suite 1, Robertsdale, AL, 36567"
Central Pediatrics Athens,"101 Fitness Way Ste 1100, Athens, AL, 35611"
Central/Ashland Family Care,"86261 AL-9, Ashland, AL, 36251"
Chambers Quality Health Care,"404 9th Ave SW, Lafayette, AL, 36862"
Chambers Quality Health- Lanett,"34 Veterans Memorial Pkwy, Lanett, AL, 36863"
Charles Henderson Child Health Center,"1300 US-231 S, Troy, AL, 36081"
Charlton Place,"65 Charlton Place, Deatsville, AL, 36022"
Chatom Primary Care,"14634 St. Stephans St, Chatom, AL, 36518"
Cheaha Womens Health and Wellness,"1420 Leighton Ave, Anniston, AL, "
Chelsea Urgent Care,"15582 Old Hwy 280 Suite 106, Chelsea, AL, 35043"
Child Neurology Consultants,"5301 Davis Ln Unit 200a, Austin, TX, 78749"
Children's Medical Group,"631 W 38th St #3, Austin, TX, 78705"
Chilton Family Medicine,"107 Health Center Drive, Clanton, AL, 35045"
Christ Health Center Chalkville,"2152 Old Springville Road, Birmingham, AL, 35215"
Christ Health Center Woodlawn,"5720 1st Ave South, Birmingham, AL, 35212"
Civic Center Health and Rehabilitation,"1201 North 22nd St, Birmingham, AL, 35234"
Clay County Hospital,"83825 SR-9, Ashland, AL, 36251"
Clay County Medical Clinic,"60026 SR-49, Lineville, AL, 36266"
Clay County Nursing Home,"83825 Hwy 9, Ashland , AL, 36251"
Clayton Homes,"PO Box 390, Addison, AL, 35540"
Cleburne County Nursing Home,"122 Brockford Rd, Heflin, AL, 36264"
Clinic Research Ctr 119 Ste 207,"7191 Cahaba Valley Road, Birmingham, AL, 35242"
Clinic W- Clanton,"206 Medical Center Dr, Clanton, AL, 35045"
Clinton Plastic Surgery,"7191 Cahaba Valley Rd #200, Birmingham, AL, 35242"
Coastal Family Medicine- Foley,"1807 N McKenzie St, Foley, AL, 36535"
Cohn Plastic Surgery,"3127 Blue Lake Drive, Vestavia Hills, AL, 35243"
Colon and Rectal Surgical Associates,"3400 Independence Dr, Homewood, AL, 35209"
Colonial Haven Care and Rehab,"616 Armory St, Greensboro, AL, 36743"
Columbiana Clinic,"22266, Columbiana, AL, 35051"
Columbiana Health and Rehab- supply drop,", , , "
Columbiana Health and Rehabilitation,"22969 Hwy 25, Columbiana, AL, 35051"
Comfort Care Hospice Coastal- Fairhope,"22502 US Hwy 98, Fairhope, AL, 36532"
Comfort Care Hospice Coastal- Fairhope- SUPPLIES,"22502 US Hwy 98, Fairhope, AL, 36532"
Comfort Care Hospice Decatur,"2424 Danville Rd. Suite M , Decatur , AL, 35601"
Comfort Care Hospice Jasper,"319 19th Street W, Jasper, AL, 35501"
Comfort Care Hospice of Andalusia,"820 South Three Notch St, Andalusia, AL, 36420"
Comfort Care Hospice of Cullman,"407 4th Ave SW, Cullman, AL, 35055"
Comfort Care Hospice of Demopolis,"547 US Highway 80 W , Demopolis, AL, 36732"
Comfort Care Hospice of Gadsden,"600 Broad St Ste 301, Gadsden, AL, 35901"
Comfort Care Hospice of Greenville,"23 Jameson Lane, Greenville, AL, 36037"
Comfort Care Hospice of Huntsville,"4245 Balmoral Dr SW #202, Huntsville, AL, 35801"
Comfort Care Hospice of Mobile,"709 Azalea Road, Mobile, AL, 36609"
Comfort Care Hospice of Scottsboro,"23730 John T Reid Parkway , Scottsboro, AL, 35671"
Comfort Care Hospice of Sheffield ,"311 North Raleigh Ave, Sheffield, AL, 35660"
Comfort Care Hospice Pelham,"245 Cahaba Valley Parkway, Pelham, AL, 35124"
Comfort Care Hospice Tuscaloosa,"2314 11th St , Tuscaloosa, AL, 35401"
Community Medical Arts Center,"875 Friendship Rd, Tallassee, AL, 36078"
Complete Health Adamsville,"3915 Veterans Memorial Dr Suite 106, Adamsville, AL, 35005"
Complete Health Cullman - Clark,"408 Clark St NE, Cullman, AL, 35055"
Complete Health Cullman - Wall,"1406 Wall St., Cullman, AL, 35055"
Complete Health Cullman Wall Midday,"1406 Wall St, Cullman, Al, 35055"
Complete Health Fultondale,"1604 Stouts Rd, Fultondale, AL, 35068"
Complete Health Gardendale,"527 Fieldstown Road STE C, Gardendale, AL, 35071"
Complete Health Greystone/BIMA,"7191 Cahaba Valley Rd, Suite 300, Birmingham, AL, 35242"
Complete Health Greystone/BIMA- Weekend,"7191 Cahaba Valley Rd, Birmingham, AL, 35242"
Complete Health Guin,"6150 US Hwy 43, Guin, AL, 35563"
Complete Health Moody,"2834 Moody Pkwy, Moody, AL, 35004"
Complete Health North Gardendale,"2650 Decatur Hwy, Gardendale , Al, 35071"
Complete Health Norwood ,"339 Walker Chapel Plaza #115, Fultondale, AL, 35068"
Complete Health Pell City,"74 Plaza Dr, Pell City, AL, 35125"
Complete Health Pell City Midday,"74 Plaza Dr, Pell City, AL, 35125"
Complete Health Pell City- Weekend,"74 Plaza Dr, Pell City, AL, 35125"
Complete Health Pinson Deerfoot,"6725 Deerfoot Pkwy, Pinson, AL, 35126"
Complete Health Princeton,"832 Princeton Ave SW, Birmingham, AL, 35211"
Complete Health Princeton Midday,"832 Princeton Ave SW, Birmingham, AL, 35211"
Complete Health Simon Williamson Clinic 4416/Badge,"832 Princeton Ave SW, Birmingham, AL, 35211"
Complete Health Springville,"480 Walker Dr, Springville, AL, 35146"
Complete Health Trussville - Happy Hollow,"7201 Happy Hollow Rd, Trussville, AL, 35173"
Cordova Health and Rehab,"70 Highland St W, Cordova, AL, 35550"
Cordova Health and Rehab- supply drop,", , , "
Cottage of the Shoals,"500 John Aldridge Dr, Tuscumbia, AL, 35674"
Covenant Place of Gardendale,"1409 Thompson Cir, Gardendale, AL, 35071"
Covid Clinic- Athens,"1005 W Market, Ste 7, Athens, AL, 35611"
Covington Healthcare,"1608 Gilmer Ave, Tallassee, AL, 36078"
Covington OBGYN,"115 Medical Park Drive , Andalusia , AL, 36420"
Crimson Care Skyland,"1771 Skyland Blvd E, Tuscaloosa, AL, 35405"
Crimson Foot Care,"4124 Watermelon Rd Ste A, Northport, AL, 35473"
Crimson Urgent Care/Alabama Family Medical Center,"1718 Veterans Memorial Pkwy, Tuscaloosa, AL, 35404"
Crossville Health and Rehab,"8922 Alabama Hwy 227 N, Crossville, AL, 35962"
Crossville Health and Rehab- supply drop,", , , "
Cullman Primary Care,"1800 AL Hwy 157, Ste 101, Cullman, AL, 35055"
Cullman Urgent Care,"1406 Wall Street, Cullman, AL, 35055"
Cypress Cove Center,"200 Alabama Ave, Muscle Shoals, AL, 35661"
"David DeAtkine Jr, MD","2728 10th Ave S #310, Birmingham, AL, 35205"
DCH Outpaitient Lab,"809 University Blvd, Tuscaloosa, AL, 35401"
DCRW/Willis Medical Group,"401 Tuscaloosa Ave Ste 210, Birmingham, AL, 35211"
Decatur ENT,"1218 13th Ave S, Decatur, AL, 35601"
Decatur Fever Clinic,"1874 Beltline Rd SW #310, Decatur, AL, 35603"
Decatur Morgan Family Practice,"1215 7th St SE #110, Decatur, AL, 35601"
Decatur Morgan OBGYN,"1304 13th Ave SE Suite B, Decatur, AL, 35601"
Decatur Morgan Primary Care,"1874 Beltline Road sw suite 300, Decatur, AL, 35601"
Dekalb Quality Health Care,"12062 Alabama Hwy 227, Geraldine, AL, 35974"
DENTS Divine Health,"7070 Aaron Aronov Drive, Bellview Plaza Suite A2, Fairfield, AL, 35064"
Dermatology Care Hoover,"2321 John Hawkins Pkwy  Ste 201, Hoover, AL, 35244"
Dermatology Care of Tuscaloosa,"4960 Rice Mine Rd #40, Tuscaloosa, AL, 35406"
Dermlab,"3918 Montclair Rd  Ste 105, Birmingham, AL, 35213"
Diagnostic & Medical Clinic - Hillcrest,"831 Hillcrest Rd, Mobile, AL, 36695"
Diagnostic & Medical Clinic - Springhill,"1700 Spring Hill Ave, Mobile, AL, 36604"
Diagnostic Clinic PC,"185 Whitesport Drive Suite 1, Huntsville, AL, 35801"
Digestive Health Specialist - Mobile,"3601 Springhill Business Park, Suite 201 , Mobile , AL, 36608"
Diversicare of Pell City,"510 Wolf Creek Rd N, Pell City, AL, 35125"
Diversicare Riverchase,"2500 Riverchase Drive, Hoover, AL, 35244"
DMC Northside in Saraland,"95 Shell Street, Saraland , AL, 36571"
Doctor's Care,"307 E Meighan Blvd, Gadsden, AL, 35903"
"Donald Aulds, MD","401 Lowell Dr #9, Huntsville, AL, 35801"
Dothan Family West,"4300 W Main Suite 102, Dothan, AL, 36303"
Dothan Pulmonary Associates,"1450 Ross Clark Cir #400, Dothan, AL, 36301"
"Dowling & Caldwell, MD, PC","417-B South 4th Street, Gadsden, AL, 35901"
Dr. Anne Alexander (Medical Arts Internal Medicine),"2911 Medical Arts St, Austin , TX, 78705"
Dr. Bobby Hill,"1647 Mcfarland Blvd N, Tuscaloosa, AL, 35406"
Dr. James Hahn Family Medicine,"631 W 38th St #2, Austin, TX, 78705"
Dr. James Parker- Aliceville,"100 5th St NE, Aliceville, AL, 35442"
Dr. Jose Santiago,"2624 W William Cannon Dr, Austin, Tx, 78745"
Dr. Kim Chanda,"2500 W William Cannon Dr Ste 303, Austin, TX, 78745"
Dr. Laurence Chu MD,"3100 Red River St, Austin, TX, 78705"
Dr. Pompeyo Chavez,"3101 SH-71 E, Bastrop, TX, 78602"
Dr. Ron Byrd,"2765 Bee Caves Rd STE 201, Austin, TX, 78746"
"Dr. Steven A Isbell, MD","321 Medical Center Dr SW, Fort Payne, AL, 35968"
Dr. Tuyet Fannin MDVIP,"711 W 38th St Suite C9, Austin, TX, 78705"
Dr. Willis drive thru clinic,"549 Bessemer Super Hwy, Bessemer, AL, 35228"
East Alabama ENT Dr Whatley,"1965 1st Ave, Opelika , AL, 36801"
East Alabama Gastroenterology Medical Services,"1518 Professional Pkwy, Auburn, AL, 36830"
East Alabama Medical Center,"2000 Pepperell Pkwy, Opelika, AL, 36801"
East Alabama Medical Center- Noon ,"2000 Pepperell Pkwy, Opelika, AL, 36801"
East Alabama Plastic Surgery,"1935 E Glenn Ave #102, Auburn, AL, 36830"
East Alabama Plastic Surgery - midday,"1935 E Glenn Ave, #102, Auburn, AL, 36830"
East Montgomery Christian Family Medicine,"129 Mitylene Park Lane, Montgomery , AL, 36117"
East Montgomery Pediactrics,"337 St Lukes Dr, Montgomery, AL, 36117"
East Pediatrics and Family Care,"299 N Prairie Str, Union Springs, AL, 36089"
Eastern Shore Children's Center,"150 S Ingleside St #7, Fairhope, AL, 36532"
Eastern Shore Childrens Spanish Fort,"9603 Stagecoach Comm Park Circle, Spanish Fort, AL, 36527"
Eastern Shore Ent,"188 Hospital Dr, Fairhope, AL, 36532"
Eastern Shore Urgent Care,"29710 Urgent Care Dr, Daphne, AL, 36526"
Elite Skin - Vestavia ,"1360 Montgomery Hwy, Vestavia, AL, 35216"
Emergi-Care Clinic,"1601 University Blvd E, Tuscaloosa, AL, 35404"
Emergi-Care Clinic - Noon,"1601 University Blvd E, Tuscaloosa, AL, 35404"
ENT Associates Alabaster,"644 2nd St NE #106, Alabaster, AL, 35007"
ENT Associates Cullman,"1948 Alabama Highway 157 POB 1 #410, Cullman, AL, 35058"
ENT Associates Gardendale ,"931 Sharit Ave, Gardendale, AL, 35071"
ENT Associates Gardendale Midday,"931 Sharit Ave, Gardendale, AL, 35071"
ENT Associates Grandview,"3686 Grandview Pkwy #530, Birmingham, AL, 35243"
ENT Associates Jasper,"3400 Highway 78 East, Suite 205, Jasper, AL, 35501"
